"","gu","day","value"
"175","강남구",2010-06-24,10
"176","강남구",2010-06-25,14
"177","강남구",2010-06-26,18
"178","강남구",2010-06-27,6
"179","강남구",2010-06-28,7
"180","강남구",2010-06-29,7
"181","강남구",2010-06-30,12
"182","강남구",2010-07-01,6
"183","강남구",2010-07-02,17
"184","강남구",2010-07-03,6
"185","강남구",2010-07-04,5
"186","강남구",2010-07-05,10
"187","강남구",2010-07-06,8
"188","강남구",2010-07-07,7
"189","강남구",2010-07-08,10
"190","강남구",2010-07-09,14
"191","강남구",2010-07-10,10
"192","강남구",2010-07-11,8
"193","강남구",2010-07-12,14
"194","강남구",2010-07-13,12
"195","강남구",2010-07-14,16
"196","강남구",2010-07-15,15
"197","강남구",2010-07-16,11
"198","강남구",2010-07-17,10
"199","강남구",2010-07-18,4
"200","강남구",2010-07-19,10
"201","강남구",2010-07-20,10
"202","강남구",2010-07-21,14
"203","강남구",2010-07-22,23
"204","강남구",2010-07-23,6
"205","강남구",2010-07-24,12
"206","강남구",2010-07-25,8
"207","강남구",2010-07-26,13
"208","강남구",2010-07-27,4
"209","강남구",2010-07-28,8
"210","강남구",2010-07-29,15
"211","강남구",2010-07-30,16
"212","강남구",2010-07-31,8
"213","강남구",2010-08-01,6
"214","강남구",2010-08-02,6
"215","강남구",2010-08-03,7
"216","강남구",2010-08-04,11
"217","강남구",2010-08-05,13
"218","강남구",2010-08-06,9
"219","강남구",2010-08-07,8
"220","강남구",2010-08-08,3
"221","강남구",2010-08-09,13
"222","강남구",2010-08-10,9
"223","강남구",2010-08-11,10
"224","강남구",2010-08-12,9
"225","강남구",2010-08-13,9
"226","강남구",2010-08-14,7
"227","강남구",2010-08-15,6
"228","강남구",2010-08-16,5
"229","강남구",2010-08-17,12
"230","강남구",2010-08-18,12
"231","강남구",2010-08-19,10
"232","강남구",2010-08-20,12
"233","강남구",2010-08-21,9
"234","강남구",2010-08-22,9
"235","강남구",2010-08-23,7
"236","강남구",2010-08-24,10
"237","강남구",2010-08-25,10
"238","강남구",2010-08-26,6
"239","강남구",2010-08-27,8
"240","강남구",2010-08-28,14
"241","강남구",2010-08-29,11
"242","강남구",2010-08-30,10
"243","강남구",2010-08-31,9
"244","강남구",2010-09-01,18
"245","강남구",2010-09-02,10
"246","강남구",2010-09-03,7
"247","강남구",2010-09-04,10
"248","강남구",2010-09-05,8
"249","강남구",2010-09-06,11
"250","강남구",2010-09-07,13
"251","강남구",2010-09-08,9
"252","강남구",2010-09-09,11
"253","강남구",2010-09-10,19
"254","강남구",2010-09-11,20
"255","강남구",2010-09-12,9
"256","강남구",2010-09-13,3
"257","강남구",2010-09-14,6
"258","강남구",2010-09-15,11
"259","강남구",2010-09-16,12
"260","강남구",2010-09-17,13
"261","강남구",2010-09-18,6
"262","강남구",2010-09-19,4
"263","강남구",2010-09-20,9
"264","강남구",2010-09-21,5
"265","강남구",2010-09-22,1
"266","강남구",2010-09-23,3
"267","강남구",2010-09-24,4
"268","강남구",2010-09-25,7
"269","강남구",2010-09-26,4
"270","강남구",2010-09-27,6
"271","강남구",2010-09-28,10
"272","강남구",2010-09-29,7
"273","강남구",2010-09-30,14
"274","강남구",2010-10-01,11
"275","강남구",2010-10-02,18
"276","강남구",2010-10-03,15
"277","강남구",2010-10-04,10
"278","강남구",2010-10-05,8
"279","강남구",2010-10-06,6
"280","강남구",2010-10-07,5
"281","강남구",2010-10-08,14
"282","강남구",2010-10-09,4
"283","강남구",2010-10-10,6
"284","강남구",2010-10-11,11
"285","강남구",2010-10-12,11
"286","강남구",2010-10-13,7
"287","강남구",2010-10-14,16
"288","강남구",2010-10-15,8
"289","강남구",2010-10-16,9
"290","강남구",2010-10-17,5
"291","강남구",2010-10-18,7
"292","강남구",2010-10-19,10
"293","강남구",2010-10-20,9
"294","강남구",2010-10-21,13
